n,B1,B2,B3,beta,dmax,Threads,Enumerate,NumEQ,PoS,PoA,EQIne,Iterations,Time,TimeFirstEq,BestPNE,WorstPNE,OSC,BestBound
2,10,10,0,0.5,20,8,0,1,1.000,1,2,2,0.038,0.036,69,69,69,69
2,10,20,0,0.5,20,8,0,1,1.000,1,2,2,0.259,0.256,109,109,109,109
2,10,30,0,0.5,20,8,0,1,1.000,1,2,2,0.871,0.869,153,153,153,153
2,10,40,0,0.5,20,8,0,1,1.000,1,2,2,1.026,1.025,186,186,186,186
2,10,50,0,0.5,20,8,0,1,1.000,1,2,2,0.545,0.544,212,212,212,212
2,10,60,0,0.5,20,8,0,1,1.000,1,2,2,0.627,0.626,232,232,232,232
2,10,70,0,0.5,20,8,0,1,1.013,1.01271,4,3,2.081,2.079,236,236,239,236
2,10,80,0,0.5,20,8,0,1,1.047,1.04661,8,4,4.908,4.905,236,236,247,236
2,10,90,0,0.5,20,8,0,1,1.029,1.02857,8,4,3.532,3.529,245,245,252,245
2,10,100,0,0.5,20,8,0,1,1.028,1.02834,8,4,3.706,3.701,247,247,254,247
2,20,20,0,0.5,20,8,0,1,1.000,1,2,2,0.426,0.424,136,136,136,136
2,20,30,0,0.5,20,8,0,1,1.000,1,2,2,1.153,1.151,180,180,180,180
2,20,40,0,0.5,20,8,0,1,1.000,1,2,2,0.867,0.865,210,210,210,210
2,20,50,0,0.5,20,8,0,1,1.000,1,4,3,1.760,1.758,232,232,232,232
2,20,60,0,0.5,20,8,0,1,1.013,1.01271,10,5,11.852,6.770,236,236,239,238
2,20,70,0,0.5,20,8,0,1,1.038,1.03846,6,3,7.494,7.194,234,234,243,234
2,20,80,0,0.5,20,8,0,0,-,-,6,4,9.530,-,-,-,252,243
2,20,90,0,0.5,20,8,0,0,-,-,8,4,14.304,-,-,-,254,247
2,20,100,0,0.5,20,8,0,0,-,-,6,3,19.163,-,-,-,254,252
2,30,30,0,0.5,20,8,0,1,1.000,1,2,2,2.583,2.580,202,202,202,202
2,30,40,0,0.5,20,8,0,1,1.000,1,2,2,1.852,1.849,232,232,232,232
2,30,50,0,0.5,20,8,0,1,1.030,1.02966,14,5,13.268,6.067,236,236,243,238
2,30,60,0,0.5,20,8,0,1,1.065,1.06466,14,7,37.077,37.067,232,232,247,232
2,30,70,0,0.5,20,8,0,1,1.050,1.05,8,4,38.741,38.384,240,240,252,240
2,30,80,0,0.5,20,8,0,1,1.058,1.05833,16,5,515.179,270.395,240,240,254,241
2,30,90,0,0.5,20,8,0,0,-,-,10,6,1327.610,-,-,-,254,240
2,30,100,0,0.5,20,8,0,0,-,-,8,5,778.459,-,-,-,254,247
2,40,40,0,0.5,20,8,0,1,1.138,1.1381,24,9,491.695,154.949,210,210,239,216
2,40,50,0,0.5,20,8,0,1,1.038,1.03782,16,6,128.764,23.469,238,238,247,240
2,40,60,0,0.5,20,8,0,2,1.050,1.0678,18,9,344.539,98.475,240,236,252,240
2,40,70,0,0.5,20,8,0,1,1.058,1.05833,14,6,808.094,418.576,240,240,254,245
2,40,80,0,0.5,20,8,0,1,1.058,1.05833,10,5,1636.910,779.146,240,240,254,243
3,10,10,10,0.5,20,8,0,1,1.072,1.07246,6,3,0.360,0.358,69,69,74,69
3,10,20,10,0.5,20,8,0,1,1.000,1,3,2,0.180,0.178,136,136,136,136
3,10,30,10,0.5,20,8,0,1,1.000,1,3,2,0.522,0.518,180,180,180,180
3,10,40,10,0.5,20,8,0,1,1.000,1,3,2,0.494,0.492,210,210,210,210
3,10,50,10,0.5,20,8,0,1,1.000,1,3,2,0.631,0.628,232,232,232,232
3,10,60,10,0.5,20,8,0,1,1.022,1.02155,9,3,2.037,1.978,232,232,237,232
3,10,70,10,0.5,20,8,0,1,1.030,1.02966,9,4,4.772,4.769,236,236,243,236
3,10,80,10,0.5,20,8,0,1,1.029,1.02857,9,4,3.437,3.433,245,245,252,245
3,10,90,10,0.5,20,8,0,1,1.037,1.03673,9,4,6.679,6.676,245,245,254,245
3,10,100,10,0.5,20,8,0,0,-,-,9,4,16.522,-,-,-,254,249
3,20,20,10,0.5,20,8,0,1,1.000,1,3,2,1.520,1.517,158,158,158,158
3,20,30,10,0.5,20,8,0,2,1.037,1.05435,18,4,6.161,5.795,187,184,194,187
3,20,40,10,0.5,20,8,0,1,1.032,1.03226,9,3,3.088,3.018,217,217,224,217
3,20,50,10,0.5,20,8,0,1,1.000,1,3,2,1.931,1.929,239,239,239,239
3,20,60,10,0.5,20,8,0,1,1.030,1.02966,15,5,19.666,19.662,236,236,243,236
3,20,70,10,0.5,20,8,0,1,1.068,1.0678,6,3,5.114,5.111,236,236,252,236
3,20,80,10,0.5,20,8,0,1,1.058,1.05833,9,4,14.024,14.021,240,240,254,240
3,20,90,10,0.5,20,8,0,0,-,-,9,3,35.657,-,-,-,254,252
3,20,100,10,0.5,20,8,0,0,-,-,9,4,162.306,-,-,-,254,252
3,30,30,10,0.5,20,8,0,1,1.000,1,18,4,11.841,11.838,216,216,216,216
3,30,40,10,0.5,20,8,0,2,1.102,1.13333,27,8,54.111,35.612,216,210,238,218
3,30,50,10,0.5,20,8,0,1,1.038,1.03782,24,8,51.141,51.135,238,238,247,238
3,30,60,10,0.5,20,8,0,1,1.050,1.05,18,6,109.115,109.110,240,240,252,240
3,30,70,10,0.5,20,8,0,1,1.058,1.05833,24,8,226.185,226.180,240,240,254,240
3,30,80,10,0.5,20,8,0,1,1.058,1.05833,15,5,833.079,434.912,240,240,254,247
3,30,90,10,0.5,20,8,0,0,-,-,9,3,1153.500,-,-,-,254,254
3,30,100,10,0.5,20,8,0,1,1.058,1.05833,12,5,3600.000,3021.700,240,240,254,243
3,40,40,10,0.5,20,8,0,1,1.038,1.03782,36,8,222.003,221.639,238,238,247,238
3,40,50,10,0.5,20,8,0,1,1.050,1.05,27,8,207.155,206.729,240,240,252,240
3,40,60,10,0.5,20,8,0,1,1.076,1.07627,24,9,2848.410,1696.300,236,236,254,244
3,40,70,10,0.5,20,8,0,2,1.058,1.07627,24,8,2441.450,833.853,240,236,254,240
3,40,80,10,0.5,20,8,0,0,-,-,15,6,3600.000,-,-,-,254,252